BrewZilla Gen4 35L – justerbara grundvärden,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Global parameter,Startvärde,Enhet,Kommentar,,,,,,,,,,,,
System,BrewZilla Gen4 35L,,35 L-kittel. KegLand anger att modellen normalt är lämplig upp till cirka 25 L batch.,,,,,,,,,,,,
Kittel maxvolym,35,L,Fysisk märkkapacitet; lämna praktisk marginal mot boil-over.,,,,,,,,,,,,
Rek. max pre-boil,30.5,L,"Arbetsgräns i detta ark, inte en KegLand-spec. Justera efter egen erfarenhet.",,,,,,,,,,,,
Koktid,60,min,Standardstart; Brewfather kan ändra per recept.,,,,,,,,,,,,
Boil-off,4,L/h,Startvärde för 220–240 V. Mät egen verklig boil-off och ersätt detta värde.,,,,,,,,,,,,
Cooling shrinkage,0.04,%,Brewfather rekommenderar normalt 4 % krympning från het till kyld vört.,,,,,,,,,,,,
Trub/CFC loss,0.8,L,Startvärde inkl. kittel + Red Reaper CFC/slangar. Kalibrera på bryggdag.,,,,,,,,,,,,
Fermenter top-up,0,L,Normalt 0 L för fullvolymskok.,,,,,,,,,,,,
Mash-tun loss,0,L,Single-vessel/AIO: normalt 0 L unrecoverable mash loss.,,,,,,,,,,,,
HLT deadspace,0,L,Sätt endast om separat lakvattenkärl har verklig dödvolym.,,,,,,,,,,,,
Hop utilization,1,%,Brewfather standard: 100 % som global IBU-multiplikator.,,,,,,,,,,,,
Hop stand temperatur,80,°C,Startvärde; ändras normalt per recept.,,,,,,,,,,,,
Laktemperatur,78,°C,Praktiskt standardvärde för sparge.,,,,,,,,,,,,
Malt temperatur,20,°C,För strike-temp-beräkning.,,,,,,,,,,,,
Omgivningstemperatur,20,°C,För värme-/strike-beräkning.,,,,,,,,,,,,
Altitude adjustment,FALSE,,Av som standard; slå på om du vill använda höjdjustering.,,,,,,,,,,,,
Altitude,0,m,Använd faktisk höjd endast om altitude adjustment är aktiv.,,,,,,,,,,,,
Calc strike temperature,TRUE,,Brewfather kan räkna första strike-steget.,,,,,,,,,,,,
Mash-tun heat capacity,0,L eq.,0 om kärlet är förvärmt; annars kalibreras med Brewfathers verktyg.,,,,,,,,,,,,
Whirlpool / No-chill time,0,min,Sätt per profil om du alltid har fast extra tid.,,,,,,,,,,,,
Profilprefix,BZ35 G4,,Används för profilnamn i matrisen.,,,,,,,,,,,,
KegLand typisk batch upp till,25,L,KegLand beskriver 35L-versionen som lämplig för enkelbatch upp till ca 25 L.,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Metod,Brewfather water calc,Grain absorption L/kg,Water/Grain L/kg,Brewhouse eff.,Mash eff.,Calc mash eff.,Mash-tun deadspace L,Include grain volume,Max mash volume L,Mash water min L,Sparge min L,Sparge max L,Overflow target,Sparge reminder,Metodnotering
Normal,Default,0.85,3.2,0.72,0.76,FALSE,6.75,TRUE,28,0,0,0,Top-Up,FALSE,"Maltpipe + lakning. 6,75 L deadspace används som startvärde för vätskan under maltbädden; verifiera på din exakta Gen4."
BIAB,Default,0.65,3.5,0.74,0.78,FALSE,0,TRUE,32,0,0,0,Top-Up,FALSE,Påse + lakning. Lägre absorption enligt Brewfathers BIAB-riktvärde; fin krossning kan ge hög effektivitet.
No Sparge,No Sparge,0.85,3.2,0.68,0.72,FALSE,6.75,TRUE,28,0,0,0,Mash,FALSE,Maltpipe + fullvolymsmäsk. Water/Grain är främst fallback/visning när No Sparge-metoden används.
BIAB – No Sparge,No Sparge,0.65,3.5,0.72,0.76,FALSE,0,TRUE,32,0,0,0,Mash,FALSE,Påse + fullvolymsmäsk. Särskilt praktisk för mindre batcher i 35 L-kitteln.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Batch till fermenter,Fermenter loss,Praktisk nivå,Batchnotering,,,,,,,,,,,,
5,0.4,Liten,"Småbatch: använd BIAB eller BIAB – No Sparge. Kontrollera vätskenivå, temperaturgivning och pumpflöde.",,,,,,,,,,,,
6,0.4,Liten,"Småbatch: använd BIAB eller BIAB – No Sparge. Kontrollera vätskenivå, temperaturgivning och pumpflöde.",,,,,,,,,,,,
8,0.5,Liten,Småbatch: använd BIAB eller BIAB – No Sparge. Fullvolym är ofta smidigast.,,,,,,,,,,,,
9,0.5,Liten,Småbatch: använd BIAB eller BIAB – No Sparge. Fullvolym är ofta smidigast.,,,,,,,,,,,,
15,0.75,Mellan,Mellanstor batch (~15 L): alla fyra varianter är relevanta.,,,,,,,,,,,,
18,0.75,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge.",,,,,,,,,,,,
20,1,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge.",,,,,,,,,,,,
21,1,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge. Bra kalibreringsankare.",,,,,,,,,,,,
23,1,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge; kontrollera pre-boil/headspace vid stora grain bills.",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Viktigt: värdena är startprofiler, inte universella sanningar. Brewfather själv rekommenderar att boil-off, förluster och effektivitet kalibreras mot den egna anläggningen. Deadspace är extra känsligt på BrewZilla eftersom olika Gen4/Gen4.1-konfigurationer och arbetssätt behandlar den återvinningsbara volymen under maltbädden olika.",,,,,,,,,,,,,,,
