BrewZilla Gen4 35L – profilöversikt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Antal batchstorlekar,9,,"Profilurval: 5–9 L = små batcher, BIAB eller BIAB – No Sparge. ~15 L = mellanstor batch, alla fyra varianter. 17–23 L = stora batcher, maltpipa: Normal eller No Sparge. Kalibrera främst boil-off, verklig trub/CFC-förlust och effektivitet mot riktiga bryggningar.",,,,,,,,,,,
Totalt antal bryggmetoder,4,,,,,,,,,,,,,
Aktiva rekommenderade profiler,20,,,,,,,,,,,,,
Batchintervall,5–23 L,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Batch L,Post-boil hot L,Pre-boil L,Headspace L,Storleksklass,Normal BH eff.,BIAB BH eff.,No Sparge BH eff.,BIAB-NS BH eff.,Rek. max pre-boil L,Rekommenderade metoder,,,,
5,6.04166666666667,10.0416666666667,24.9583333333333,Liten,0.72,0.74,0.68,0.72,30.5,BIAB / BIAB – No Sparge,,,,
6,7.08333333333333,11.0833333333333,23.9166666666667,Liten,0.72,0.74,0.68,0.72,30.5,BIAB / BIAB – No Sparge,,,,
8,9.16666666666667,13.1666666666667,21.8333333333333,Liten,0.72,0.74,0.68,0.72,30.5,BIAB / BIAB – No Sparge,,,,
9,10.2083333333333,14.2083333333333,20.7916666666667,Liten,0.72,0.74,0.68,0.72,30.5,BIAB / BIAB – No Sparge,,,,
15,16.4583333333333,20.4583333333333,14.5416666666667,Mellan,0.72,0.74,0.68,0.72,30.5,Alla fyra,,,,
18,19.5833333333333,23.5833333333333,11.4166666666667,Stor,0.72,0.74,0.68,0.72,30.5,Normal / No Sparge (maltpipa),,,,
20,21.6666666666667,25.6666666666667,9.33333333333333,Stor,0.72,0.74,0.68,0.72,30.5,Normal / No Sparge (maltpipa),,,,
21,22.7083333333333,26.7083333333333,8.29166666666666,Stor,0.72,0.74,0.68,0.72,30.5,Normal / No Sparge (maltpipa),,,,
23,24.7916666666667,28.7916666666667,6.20833333333333,Stor,0.72,0.74,0.68,0.72,30.5,Normal / No Sparge (maltpipa),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Metod,BH eff.,Mash eff.,Grain absorption L/kg
,,,,,,,,,,,Normal,0.72,0.76,0.85
,,,,,,,,,,,BIAB,0.74,0.78,0.65
,,,,,,,,,,,No Sparge,0.68,0.72,0.85
,,,,,,,,,,,BIAB – No Sparge,0.72,0.76,0.65
