Brewfather Equipment Profiles – BrewZilla Gen4 35L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profilnamn,Batch L,Metod,Batch target,Boil time min,Calc boil volume,Trub/CFC loss L,Fermenter loss L,Fermenter top-up L,Boil-off L/h,Cooling shrinkage,Post-boil hot L,Pre-boil L,Headspace till 35L,Pre-boil status,Brewhouse eff.,Mash eff.,Calc mash eff.,Grain absorption L/kg,Water/Grain L/kg,Mash/Sparge calc,Mash-tun deadspace L,Mash-tun loss L,HLT deadspace L,Include grain volume,Max mash volume L,Mash water min L,Sparge min L,Sparge max L,Overflow target,Sparge reminder,Sparge temp °C,Calc strike temp,Mash-tun heat cap L eq.,Hop utilization,Hop stand temp °C,Grain temp °C,Ambient temp °C,Whirlpool/No-chill min,Altitude adj.,Altitude m,Praktisk nivå,Batchnotering,Metodnotering,Beskrivning
BZ35 G4 - BIAB - 5L,5,BIAB,Fermenter,60,TRUE,0.8,0.4,0,4,0.04,6.04166666666667,10.0416666666667,24.9583333333333,OK,0.74,0.78,FALSE,0.65,3.5,Default,0,0,0,TRUE,32,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,"Småbatch: använd BIAB eller BIAB – No Sparge. Kontrollera vätskenivå, temperaturgivning och pumpflöde.",Påse + lakning. Lägre absorption enligt Brewfathers BIAB-riktvärde; fin krossning kan ge hög effektivitet.,"Rekommenderad profil för BIAB, 5 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB – No Sparge - 5L,5,BIAB – No Sparge,Fermenter,60,TRUE,0.8,0.4,0,4,0.04,6.04166666666667,10.0416666666667,24.9583333333333,OK,0.72,0.76,FALSE,0.65,3.5,No Sparge,0,0,0,TRUE,32,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,"Småbatch: använd BIAB eller BIAB – No Sparge. Kontrollera vätskenivå, temperaturgivning och pumpflöde.",Påse + fullvolymsmäsk. Särskilt praktisk för mindre batcher i 35 L-kitteln.,"Rekommenderad profil för BIAB – No Sparge, 5 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB - 6L,6,BIAB,Fermenter,60,TRUE,0.8,0.4,0,4,0.04,7.08333333333333,11.0833333333333,23.9166666666667,OK,0.74,0.78,FALSE,0.65,3.5,Default,0,0,0,TRUE,32,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,"Småbatch: använd BIAB eller BIAB – No Sparge. Kontrollera vätskenivå, temperaturgivning och pumpflöde.",Påse + lakning. Lägre absorption enligt Brewfathers BIAB-riktvärde; fin krossning kan ge hög effektivitet.,"Rekommenderad profil för BIAB, 6 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB – No Sparge - 6L,6,BIAB – No Sparge,Fermenter,60,TRUE,0.8,0.4,0,4,0.04,7.08333333333333,11.0833333333333,23.9166666666667,OK,0.72,0.76,FALSE,0.65,3.5,No Sparge,0,0,0,TRUE,32,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,"Småbatch: använd BIAB eller BIAB – No Sparge. Kontrollera vätskenivå, temperaturgivning och pumpflöde.",Påse + fullvolymsmäsk. Särskilt praktisk för mindre batcher i 35 L-kitteln.,"Rekommenderad profil för BIAB – No Sparge, 6 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB - 8L,8,BIAB,Fermenter,60,TRUE,0.8,0.5,0,4,0.04,9.16666666666667,13.1666666666667,21.8333333333333,OK,0.74,0.78,FALSE,0.65,3.5,Default,0,0,0,TRUE,32,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,Småbatch: använd BIAB eller BIAB – No Sparge. Fullvolym är ofta smidigast.,Påse + lakning. Lägre absorption enligt Brewfathers BIAB-riktvärde; fin krossning kan ge hög effektivitet.,"Rekommenderad profil för BIAB, 8 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB – No Sparge - 8L,8,BIAB – No Sparge,Fermenter,60,TRUE,0.8,0.5,0,4,0.04,9.16666666666667,13.1666666666667,21.8333333333333,OK,0.72,0.76,FALSE,0.65,3.5,No Sparge,0,0,0,TRUE,32,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,Småbatch: använd BIAB eller BIAB – No Sparge. Fullvolym är ofta smidigast.,Påse + fullvolymsmäsk. Särskilt praktisk för mindre batcher i 35 L-kitteln.,"Rekommenderad profil för BIAB – No Sparge, 8 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB - 9L,9,BIAB,Fermenter,60,TRUE,0.8,0.5,0,4,0.04,10.2083333333333,14.2083333333333,20.7916666666667,OK,0.74,0.78,FALSE,0.65,3.5,Default,0,0,0,TRUE,32,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,Småbatch: använd BIAB eller BIAB – No Sparge. Fullvolym är ofta smidigast.,Påse + lakning. Lägre absorption enligt Brewfathers BIAB-riktvärde; fin krossning kan ge hög effektivitet.,"Rekommenderad profil för BIAB, 9 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB – No Sparge - 9L,9,BIAB – No Sparge,Fermenter,60,TRUE,0.8,0.5,0,4,0.04,10.2083333333333,14.2083333333333,20.7916666666667,OK,0.72,0.76,FALSE,0.65,3.5,No Sparge,0,0,0,TRUE,32,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Liten,Småbatch: använd BIAB eller BIAB – No Sparge. Fullvolym är ofta smidigast.,Påse + fullvolymsmäsk. Särskilt praktisk för mindre batcher i 35 L-kitteln.,"Rekommenderad profil för BIAB – No Sparge, 9 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - Normal - 15L,15,Normal,Fermenter,60,TRUE,0.8,0.75,0,4,0.04,16.4583333333333,20.4583333333333,14.5416666666667,OK,0.72,0.76,FALSE,0.85,3.2,Default,6.75,0,0,TRUE,28,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Mellan,Mellanstor batch (~15 L): alla fyra varianter är relevanta.,"Maltpipe + lakning. 6,75 L deadspace används som startvärde för vätskan under maltbädden; verifiera på din exakta Gen4.","Rekommenderad profil för Normal, 15 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB - 15L,15,BIAB,Fermenter,60,TRUE,0.8,0.75,0,4,0.04,16.4583333333333,20.4583333333333,14.5416666666667,OK,0.74,0.78,FALSE,0.65,3.5,Default,0,0,0,TRUE,32,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Mellan,Mellanstor batch (~15 L): alla fyra varianter är relevanta.,Påse + lakning. Lägre absorption enligt Brewfathers BIAB-riktvärde; fin krossning kan ge hög effektivitet.,"Rekommenderad profil för BIAB, 15 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
